label,source,year,id
SGV004|2005.64109589041,Bovine,2005,SGV004
SGV021|2019.22739726027,Bovine,2019,SGV021
SGV022|2019.62191780822,Bovine,2019,SGV022
SGV023|2019.17534246575,Bovine,2019,SGV023
SGV025|2019.60821917808,Bovine,2019,SGV025
SGV026|2019.65205479452,Bovine,2019,SGV026
SGV028|2019.76164383562,Bovine,2019,SGV028
SGV029|2019.76712328767,Bovine,2019,SGV029
SGV030|2020.36885245902,Bovine,2020,SGV030
SGV031|2020.85792349727,Bovine,2020,SGV031
SGV032|2020.84153005464,Human,2020,SGV032
SGV033|2020.45901639344,Human,2020,SGV033
SGV034|2020.8606557377,Human,2020,SGV034
SGV035|2020.2868852459,Feline,2020,SGV035
SGV036|2020.27049180328,Bovine,2020,SGV036
SGV037|2020.33879781421,Bovine,2020,SGV037
SGV038|2020.38797814208,Bovine,2020,SGV038
SGV039|2020.08743169399,Canine,2020,SGV039
SGV040|2020.43715846995,Bovine,2020,SGV040
SGV041|2020.5737704918,Bovine,2020,SGV041
SGV042|2020.66393442623,Bovine,2020,SGV042
SGV043|2020.68306010929,Bovine,2020,SGV043
SGV044|2020.73224043716,Bovine,2020,SGV044
SGV045|2020.82786885246,Canine,2020,SGV045
SGV046|2020.95081967213,Bovine,2020,SGV046
SGV047|2021.76438356164,Bovine,2021,SGV047
SGV048|2021.20547945205,Bovine,2021,SGV048
SGV049|2021.09589041096,Human,2021,SGV049
SGV050|2021.41369863014,Human,2021,SGV050
SGV051|2021.27671232877,Bovine,2021,SGV051
SGV052|2021.27945205479,Canine,2021,SGV052
SGV053|2021.31780821918,Bovine,2021,SGV053
SGV054|2020.53825136612,Canine,2020,SGV054
SGV055|2021.49315068493,Bovine,2021,SGV055
SGV056|2021.58356164384,Canine,2021,SGV056
SGV057|2021.57534246575,Bovine,2021,SGV057
SGV058|2021.61369863014,Canine,2021,SGV058
SGV059|2021.64383561644,Bovine,2021,SGV059
SGV060|2021.74246575342,Bovine,2021,SGV060
SGV061|2021.76712328767,Canine,2021,SGV061
SGV062|2021.78356164384,Bovine,2021,SGV062
SGV063|2021.83287671233,Ovine,2021,SGV063
SGV064|2021.84383561644,Bovine,2021,SGV064
SGV065|2021.8602739726,Canine,2021,SGV065
SGV066|2022.10410958904,Human,2022,SGV066
SGV067|2022.1095890411,Bovine,2022,SGV067
SGV068|2022.18904109589,Canine,2022,SGV068
SGV069|2022.31780821918,Bovine,2022,SGV069
SGV070|2022.31780821918,Canine,2022,SGV070
SGV071|2022.33424657534,Human,2022,SGV071
SGV072|2022.47123287671,Feline,2022,SGV072
SGV073|2022.48493150685,Canine,2022,SGV073
SGV075|2022.55342465753,Bovine,2022,SGV075
SGV077|2022.6602739726,Canine,2022,SGV077
SGV078|2022.68219178082,Bovine,2022,SGV078
SGV079|2022.7397260274,Canine,2022,SGV079
SGV080|2022.87123287671,Equine,2022,SGV080
