ID,CONTIG
SC0083,Contig_1_743.574_Circ
SC0086,Contig_1_412.781_Circ
SC0087,Contig_1_344.855_Circ
SC0103,Contig_1_179.388_Circ
SC0126,Contig_1_91.755_Circ
SC0153,Contig_1_48.3484_Circ
SC0173,Contig_1_238.691_Circ
SC0199,Contig_1_57.4932_Circ
SC0201,Contig_1_205.978_Circ
SC0202,Contig_1_256.734_Circ
SC0204,Contig_1_272.897_Circ
SC0206,Contig_1_207.085_Circ
SC0209,Contig_1_11986.1_Circ
SC0210,Contig_1_263.781_Circ
SC0211,Contig_1_164.543_Circ
SC0217,Contig_1_211.088_Circ
SC0237,Contig_2_209.334_Circ
SC0238,Contig_1_127.014_Circ
SC0240,Contig_1_221.364_Circ
SC0242,Contig_1_247.185_Circ
SC0244,Contig_1_222.781_Circ
SC0250,Contig_1_5239.02_Circ
SC0255,Contig_1_197.262_Circ
SC0266,Contig_1_674.74_Circ
SC0267,Contig_1_176.244_Circ
SC0275,Contig_1_95.0359_Circ
SC0317,Contig_1_125.517_Circ
SC0321,Contig_1_142.494_Circ
SC0327,Contig_1_85.1071_Circ
SC0330,Contig_1_117.21_Circ
SC0332,Contig_1_151.395_Circ
SC0336,Contig_1_146.763_Circ
SC0339,Contig_1_113.237_Circ
SC0388,Contig_2_118.586_Circ
SC0391,Contig_1_6602.5_Circ
SC0433,Contig_1_48.4969_Circ
SC0435,Contig_1_8068.69_Circ
SC0436,Contig_1_133.121_Circ
SC0437,Contig_1_147.123_Circ
SC0438,Contig_1_17961.6_Circ
SC0450,Contig_1_186.861_Circ
SC0470,Contig_1_3146.75_Circ
SC0474,Contig_1_109.991_Circ
SC0476,Contig_1_2457.8_Circ
SC0481,Contig_1_5130.27_Circ
SC0482,Contig_1_115.304_Circ
SC0490,Contig_1_100.343_Circ
SC0554,Contig_1_90.6268_Circ
SC0560,Contig_1_68.2659_Circ
SC0582,Contig_1_122.855_Circ
SC0585,Contig_1_4448.09_Circ
SC0665,Contig_1_376.613_Circ
SC0695,Contig_1_324.05_Circ
SC0707,Contig_1_296.578_Circ
SC0725,Contig_2_3001.64_Circ
SC0732,Contig_2_265.881_Circ
SC0733,Contig_1_356.027_Circ
SC0796,Contig_1_502.26_Circ
SC0803,Contig_1_472.018_Circ
SC0811,Contig_1_556.434_Circ
SC0813,Contig_1_380.144_Circ
SC0820,Contig_1_13127_Circ
SC0841,Contig_1_91.0205_Circ
SC0849,Contig_1_273.334_Circ
SC0850,Contig_1_25745.4_Circ
SC0851,Contig_1_39003.9_Circ
SC0860,Contig_1_537.39_Circ
SC0880,Contig_1_234.628_Circ
SC0887,Contig_1_214.599_Circ
SC0893,Contig_1_233.133_Circ
SC0897,Contig_1_263.378_Circ
SC0941,Contig_1_10315.2_Circ
SC0951,Contig_1_254.545_Circ
SC0952,Contig_1_115.85_Circ
SC0955,Contig_1_120.809_Circ
SC0987,Contig_1_55.8623_Circ
SC0987,Contig_2_5043.07_Circ
SC1013,Contig_1_103.391_Circ
SC1017,Contig_1_445.965_Circ
SC1043,Contig_1_288.835_Circ
SC1044,Contig_1_303.064_Circ
SC1065,Contig_1_5516.09_Circ
SC1096,Contig_1_142.013_Circ
SC1097,Contig_1_235.515_Circ
SC1131,Contig_1_168.997_Circ
SC1134,Contig_1_305.364_Circ
SC1141,Contig_1_355.593_Circ
SC1161,Contig_1_368.061_Circ
SC1204,Contig_1_267.883_Circ
SC1206,Contig_1_287.11_Circ
SC1210,Contig_1_252.002_Circ
SC1211,Contig_1_220.596_Circ
SC1238,Contig_1_190.646_Circ
SC1260,Contig_1_329.834_Circ
SC1272,Contig_1_9549.44_Circ
SC1281,Contig_1_544.344_Circ
SC1292,Contig_1_250.739_Circ
SC1314,Contig_1_256.24_Circ
SC1315,Contig_1_172.535_Circ
SC1318,Contig_1_222.424_Circ
SC1320,Contig_1_119.905_Circ
SC1327,Contig_1_220.689_Circ
SC1347,Contig_2_402.165_Circ
SC1386,Contig_1_146.736_Circ
SC1416,Contig_1_1799.37_Circ
SC1417,Contig_1_2335.7_Circ
SC1438,Contig_1_187.293_Circ
SC1452,Contig_1_136.753_Circ
SC1470,Contig_1_137.546_Circ
SC1472,Contig_1_157.484_Circ
SC1474,Contig_1_154.597_Circ
SC1486,Contig_1_201.182_Circ
SC1546,Contig_1_227.961_Circ
SC1548,Contig_1_191.935_Circ
SC1551,Contig_1_190.885_Circ
SC1574,Contig_1_188.97_Circ
SC1586,Contig_1_153.278_Circ
SC1587,Contig_1_119.666_Circ
SC1588,Contig_1_113.077_Circ
SC1591,Contig_1_143.343_Circ
SC1593,Contig_1_89.94_Circ
SC1595,Contig_1_82.5635_Circ
SC1596,Contig_1_126.651_Circ
SC1597,Contig_1_166.608_Circ
SC1606,Contig_1_295.584_Circ
SC1612,Contig_1_1166.61_Circ
SC1613,Contig_1_224.829_Circ
SC1615,Contig_1_254.251_Circ
SC1625,Contig_1_298.264_Circ
SC1627,Contig_1_271.276_Circ
SC1668,Contig_1_189.039_Circ
SC1669,Contig_1_1483.31_Circ
SC1671,Contig_1_106.489_Circ
SC1689,Contig_1_5256.73_Circ
SC1694,Contig_1_6445.4_Circ
SC1705,Contig_1_5857.32_Circ
SC1712,Contig_1_217.86_Circ
SC1718,Contig_2_137.32_Circ
SC1718,Contig_1_133.324_Circ
