Dendrogram_ID,Mobility
15AR0917_ST6964,1
SC0014_ST520_p1,2
SC0014_ST520_p3,1
SC0014_ST520_p2,1
SC0058_ST677,1
SC0082_ST48,1
SC0083_ST704,3
SC0084_ST1030,1
SC0088_ST61,1
SC0089_ST137,2
SC0134_ST535,2
SC0158_ST42_p1,1
SC0158_ST42_p2,1
SC0203_ST2026,2
SC0212_ST3610_p1,1
SC0212_ST3610_p2,1
SC0222_ST520_p1,1
SC0222_ST520_p2,1
SC0250_ST3222,2
SC0354_ST22,1
SC0388_ST1115,1
SC0391_ST4009,1
SC0417_ST48,1
SC0436_ST42,1
SC0567_ST48,1
SC0580_ST61,1
SC0583_ST422,1
SC0592_ST12762_p2,1
SC0592_ST12762_p1,1
SC0600_ST422_p2,1
SC0600_ST422_p1,1
SC0650_ST6964_p1,1
SC0682_ST830_p2,2
SC0682_ST830_p1,1
SC0733_ST42_p1,1
SC0733_ST42_p2,1
SC0841_ST42,1
SC0853_ST3232,1
SC0909_ST14595,1
SC0941_ST900_p5,2
SC0941_ST900_p6,3
SC0941_ST900_p7,2
SC0941_ST900_p8,3
SC0941_ST900_p4,1
SC0941_ST900_p2,1
SC0941_ST900_p3,1
SC0947_ST5734_p1,1
SC0963_ST14186_p1,1
SC0963_ST14186_p2,1
SC0987_ST900_p4,3
SC0987_ST900_p1,1
SC0987_ST900_p3,1
SC0987_ST900_p2,1
SC1065_ST829_p2,1
SC1065_ST829_p1,2
SC1065_ST829_p3,1
SC1210_ST53_p1,1
SC1210_ST53_p2,1
SC1272_ST5647,2
SC1320_ST48,1
SC1380_ST8926,1
SC1437_ST2392,1
SC1521_ST51,1
SC1586_ST42,1
SC1597_ST61,1
SC1620_ST61_p1,1
SC1620_ST61_p2,1
SC1622_ST50_p1,1
SC1622_ST50_p2,1
SC1667_ST2357_p1,1
SC1667_ST2357_p2,1
SC1667_ST2357_p3,1
SC1689_ST1096,2
SC1704_ST45,1
SC1706_ST2256_p2,1
SC1706_ST2256_p1,1
SC1707_ST2256_p2,1
SC1707_ST2256_p1,1
SC1718_ST3230_p3,2
SC1718_ST3230_p2,1
SC1718_ST3230_p1,1
