ID,Species,Host
15AR0917_ST6964,C. jejuni,Human
SC0014_ST520_p1,C. jejuni,Ovine
SC0014_ST520_p3,C. jejuni,Ovine
SC0014_ST520_p2,C. jejuni,Ovine
SC0058_ST677,C. jejuni,Human
SC0082_ST48,C. jejuni,Poultry
SC0083_ST704,C. jejuni,Bovine
SC0084_ST1030,C. jejuni,Bovine
SC0088_ST61,C. jejuni,Bovine
SC0089_ST137,C. jejuni,Bovine
SC0134_ST535,C. jejuni,Human
SC0158_ST42_p1,C. jejuni,Human
SC0158_ST42_p2,C. jejuni,Human
SC0203_ST2026,C. jejuni,Bovine
SC0212_ST3610_p1,C. jejuni,Bovine
SC0212_ST3610_p2,C. jejuni,Bovine
SC0222_ST520_p1,C. jejuni,Human
SC0222_ST520_p2,C. jejuni,Human
SC0250_ST3222,C. coli,Ovine
SC0354_ST22,C. jejuni,Human
SC0388_ST1115,C. coli,Ovine
SC0391_ST4009,C. coli,Human
SC0417_ST48,C. jejuni,Human
SC0436_ST42,C. jejuni,Bovine
SC0567_ST48,C. jejuni,Human
SC0580_ST61,C. jejuni,Ovine
SC0583_ST422,C. jejuni,Ovine
SC0592_ST12762_p2,C. jejuni,Human
SC0592_ST12762_p1,C. jejuni,Human
SC0600_ST422_p2,C. jejuni,Human
SC0600_ST422_p1,C. jejuni,Human
SC0650_ST6964_p1,C. jejuni,Human
SC0682_ST830_p2,C. coli,Human
SC0682_ST830_p1,C. coli,Human
SC0733_ST42_p1,C. jejuni,Human
SC0733_ST42_p2,C. jejuni,Human
SC0841_ST42,C. jejuni,Human
SC0853_ST3232,C. coli,Ovine
SC0909_ST14595,C. coli,Human
SC0941_ST900_p5,C. coli,Poultry
SC0941_ST900_p6,C. coli,Poultry
SC0941_ST900_p7,C. coli,Poultry
SC0941_ST900_p8,C. coli,Poultry
SC0941_ST900_p4,C. coli,Poultry
SC0941_ST900_p2,C. coli,Poultry
SC0941_ST900_p3,C. coli,Poultry
SC0947_ST5734_p1,C. coli,Poultry
SC0963_ST14186_p1,C. jejuni,Bovine
SC0963_ST14186_p2,C. jejuni,Bovine
SC0987_ST900_p4,C. coli,Poultry
SC0987_ST900_p1,C. coli,Poultry
SC0987_ST900_p3,C. coli,Poultry
SC0987_ST900_p2,C. coli,Poultry
SC1065_ST829_p2,C. coli,Ovine
SC1065_ST829_p1,C. coli,Ovine
SC1065_ST829_p3,C. coli,Ovine
SC1210_ST53_p1,C. jejuni,Ovine
SC1210_ST53_p2,C. jejuni,Ovine
SC1272_ST5647,C. jejuni,Human
SC1320_ST48,C. jejuni,Poultry
SC1380_ST8926,C. coli,Human
SC1437_ST2392,C. jejuni,Ovine
SC1521_ST51,C. jejuni,Human
SC1586_ST42,C. jejuni,Ovine
SC1597_ST61,C. jejuni,Bovine
SC1620_ST61_p1,C. jejuni,Ovine
SC1620_ST61_p2,C. jejuni,Ovine
SC1622_ST50_p1,C. jejuni,Ovine
SC1622_ST50_p2,C. jejuni,Ovine
SC1667_ST2357_p1,C. jejuni,Bovine
SC1667_ST2357_p2,C. jejuni,Bovine
SC1667_ST2357_p3,C. jejuni,Bovine
SC1689_ST1096,C. coli,Bovine
SC1704_ST45,C. jejuni,Poultry
SC1706_ST2256_p2,C. coli,Poultry
SC1706_ST2256_p1,C. coli,Poultry
SC1707_ST2256_p2,C. coli,Poultry
SC1707_ST2256_p1,C. coli,Poultry
SC1718_ST3230_p3,C. coli,Poultry
SC1718_ST3230_p2,C. coli,Poultry
SC1718_ST3230_p1,C. coli,Poultry
